time,temp
43565.59032,21.1
43565.59039,21.18
43565.59043,21
43565.59046,21.07
43565.5905,21
43565.5905,20.5
43565.59051,21.11
43565.59062,21
43565.59062,20.5
43565.59076,20.03
43565.59078,21
43565.59087,21
43565.59087,20.5
43565.59097,21
43565.59097,20.5
43565.59101,27.71
43565.59117,21
43565.5912,21
43565.59124,20.5
43565.59134,21
43565.59136,20.5
43565.5915,21
43565.59157,21
43565.59159,20.5
43565.59171,21
43565.59171,20.5
43565.59178,21
43565.59194,21
43565.59194,20.5
43565.59201,21
43565.59208,20.5
43565.59215,21
43565.59229,21
43565.59231,21
43565.59236,21
43565.59242,21
43565.59247,21
43565.59263,21
43565.59263,21
43565.59275,31.29
43565.59275,21
43565.59277,21
43565.59282,21
43565.59298,21
43565.593,21
43565.59305,21
43565.59312,21
43565.59319,21
43565.59335,21
43565.5934,21
43565.5934,21
43565.59351,21
43565.59354,21
43565.59354,19.62
43565.5937,21.4
43565.59372,21
43565.59374,21.29
43565.59374,21
43565.59375,21
43565.59386,21
43565.59388,21.31
43565.59391,21
43565.59398,21.39
43565.59405,21.3
43565.59411,21.32
43565.59412,21
43565.59412,21
43565.59412,21
43565.59419,21
43565.59425,21
43565.59428,20.01
43565.59442,21
43565.59442,21
43565.59449,21
43565.59456,21
43565.59458,27.71
43565.5946,21
43565.59481,21
43565.59481,21
43565.59481,21
43565.5949,21
43565.59497,21
43565.59518,21
43565.59518,21
43565.59518,21
43565.59525,21
43565.59534,21
43565.59548,21
43565.5955,21
43565.5955,21
43565.5956,21
43565.59569,21
43565.59587,21
43565.59587,21
43565.59588,21
43565.59594,21
43565.59604,21
43565.5962,21
43565.59622,21
43565.59627,21
43565.59631,21
43565.59634,21
43565.59636,31.15
43565.59641,21
43565.59655,21
43565.59661,21
43565.59666,21
43565.59668,21
43565.59675,21
43565.59692,21
43565.59696,21
43565.59701,21
43565.59705,19.6
43565.59708,21
43565.5971,21
43565.59726,21.56
43565.59729,21.31
43565.59731,21
43565.59731,21
43565.59736,21
43565.59738,21
43565.59745,21.49
43565.59747,21
43565.59749,21.57
43565.59766,21
43565.5977,21
43565.5977,21
43565.59773,21.49
43565.59775,21.52
43565.59777,21
43565.5978,20
43565.59782,21
43565.598,21
43565.598,21
43565.59807,21
43565.59814,27.71
43565.59814,21
43565.59819,21
43565.59833,21
43565.5984,21
43565.59842,21
43565.59847,21
43565.59854,21
43565.59872,21
43565.59877,21
43565.59879,21
43565.59881,21
43565.59886,21
43565.59888,21
43565.59893,21
43565.59905,21
43565.59914,21
43565.59916,21
43565.59923,21
43565.59925,21
43565.59937,21
43565.59944,21
43565.59944,21
43565.59949,21
43565.59955,21
43565.5996,21
43565.59974,21
43565.59979,21
43565.59988,21
43565.59992,21
43565.59995,31.13
43565.59997,21
43565.60013,21
43565.60014,21
43565.60025,21
43565.60027,21
43565.60032,21
43565.60048,21
43565.6005,21
43565.6006,21
43565.6006,21
43565.6006,19.58
43565.60069,21
43565.60078,21.72
43565.60083,21.32
43565.60083,21
43565.60085,21
43565.60094,21
43565.60099,21
43565.60101,21.72
43565.60101,21.67
43565.60104,21
43565.60117,21
43565.6012,21
43565.60127,21
43565.60129,21.63
43565.60134,21.67
43565.60134,19.97
43565.60136,21
43565.60138,21
43565.60152,21
43565.60157,21
43565.60164,21.5
43565.60168,21
43565.60173,27.69
43565.60175,21
43565.60189,21
43565.60192,21
43565.60201,21.5
43565.60205,21
43565.6021,21
43565.60226,21
43565.60226,21
43565.60233,21.5
43565.6024,21
43565.60247,21
43565.60261,21
43565.60263,21
43565.6027,21.5
43565.60275,21
43565.60282,21
43565.60296,21
43565.60296,21
43565.60307,21.5
43565.6031,21
43565.60317,21
43565.60333,21
43565.60335,21
43565.60342,21.5
43565.60347,21
43565.60351,21
43565.60356,31.22
43565.60365,21
43565.60372,21
43565.60377,21.5
43565.60384,21
43565.60388,21
43565.60402,21
43565.60407,21
43565.60411,21.5
43565.60412,19.56
43565.60416,21
43565.60421,21
43565.60423,21
43565.60432,21.84
43565.60437,21.35
43565.60442,21
43565.60453,21.5
43565.60453,21
43565.60453,21
43565.60458,21
43565.6046,21.79
43565.60462,21.83
43565.60472,21
43565.60476,21.5
43565.60483,19.94
43565.60486,21.77
43565.60488,21
43565.60495,21.78
43565.60495,21
43565.60495,21
43565.60511,21.5
43565.60511,21
43565.60523,21
43565.60527,27.73
43565.6053,21
43565.6053,21
43565.60546,21.5
43565.60546,21
